2021-05-24 12:43:10,330 - HyperTuner_objective - INFO - ObjValue=-0.6824944019 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 447, 'epoch': 3, 'hidden_size': 449, 'lr': 0.7406471423269038}
2021-05-24 12:43:51,734 - HyperTuner_objective - INFO - ObjValue=-0.7079805136 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 504, 'epoch': 1, 'hidden_size': 469, 'lr': 1.1311900972980338}
2021-05-24 12:43:52,756 - HyperTuner_objective - INFO - ObjValue=-0.6914985776 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 1, 'hidden_size': 437, 'lr': 1.1171966065480505}
2021-05-24 12:43:53,774 - HyperTuner_objective - INFO - ObjValue=-0.6986433864 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 462, 'epoch': 1, 'hidden_size': 481, 'lr': 1.0948776742242317}
2021-05-24 12:43:54,671 - HyperTuner_objective - INFO - ObjValue=-0.7114510536 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 456, 'epoch': 1, 'hidden_size': 441, 'lr': 1.0370253928549185}
2021-05-24 12:43:55,709 - HyperTuner_objective - INFO - ObjValue=-0.7199267745 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 1, 'hidden_size': 467, 'lr': 1.16854347804581}
2021-05-24 12:43:56,702 - HyperTuner_objective - INFO - ObjValue=-0.7144640088 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 444, 'epoch': 1, 'hidden_size': 467, 'lr': 0.9120035241980079}
2021-05-24 12:43:57,662 - HyperTuner_objective - INFO - ObjValue=-0.7060047984 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 505, 'epoch': 1, 'hidden_size': 485, 'lr': 1.2010177996877947}
2021-05-24 12:44:00,285 - HyperTuner_objective - INFO - ObjValue=-0.6857714653 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 426, 'epoch': 3, 'hidden_size': 452, 'lr': 1.0005682917286653}
2021-05-24 12:44:01,102 - HyperTuner_objective - INFO - ObjValue=-0.7061134577 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 466, 'epoch': 1, 'hidden_size': 444, 'lr': 1.2073035578568938}
2021-05-24 12:44:02,047 - HyperTuner_objective - INFO - ObjValue=-0.6867568493 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 474, 'epoch': 1, 'hidden_size': 475, 'lr': 0.7687859466984449}
2021-05-24 12:44:05,558 - HyperTuner_objective - INFO - ObjValue=-0.6570196152 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 438, 'epoch': 4, 'hidden_size': 443, 'lr': 0.900058367321012}
2021-05-24 12:44:06,566 - HyperTuner_objective - INFO - ObjValue=-0.6879761219 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 496, 'epoch': 1, 'hidden_size': 470, 'lr': 1.372078320433867}
2021-05-24 12:44:09,460 - HyperTuner_objective - INFO - ObjValue=-0.6852014065 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 428, 'epoch': 3, 'hidden_size': 453, 'lr': 1.0308487845767802}
2021-05-24 12:44:10,328 - HyperTuner_objective - INFO - ObjValue=-0.7135157585 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 511, 'epoch': 1, 'hidden_size': 477, 'lr': 0.5207594116697054}
2021-05-24 12:44:12,066 - HyperTuner_objective - INFO - ObjValue=-0.6965438724 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 461, 'epoch': 2, 'hidden_size': 459, 'lr': 1.2014786826184065}
2021-05-24 12:44:15,978 - HyperTuner_objective - INFO - ObjValue=-0.6650975347 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 430, 'epoch': 4, 'hidden_size': 479, 'lr': 0.8715754958758535}
2021-05-24 12:44:16,937 - HyperTuner_objective - INFO - ObjValue=-0.7052031159 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 443, 'epoch': 1, 'hidden_size': 450, 'lr': 1.3076995234494786}
2021-05-24 12:44:18,687 - HyperTuner_objective - INFO - ObjValue=-0.6973194480 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 451, 'epoch': 2, 'hidden_size': 451, 'lr': 0.9537782044722158}
2021-05-24 12:44:21,266 - HyperTuner_objective - INFO - ObjValue=-0.6942307949 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 481, 'epoch': 3, 'hidden_size': 484, 'lr': 0.5794836120123248}
2021-05-24 12:44:22,085 - HyperTuner_objective - INFO - ObjValue=-0.6938045621 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 507, 'epoch': 1, 'hidden_size': 462, 'lr': 0.8105965240881832}
2021-05-24 12:44:23,755 - HyperTuner_objective - INFO - ObjValue=-0.7190049887 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 455, 'epoch': 2, 'hidden_size': 445, 'lr': 0.7157794359508289}
2021-05-24 12:44:27,032 - HyperTuner_objective - INFO - ObjValue=-0.6455517411 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 418, 'epoch': 4, 'hidden_size': 440, 'lr': 1.4303522347443245}
2021-05-24 12:44:28,019 - HyperTuner_objective - INFO - ObjValue=-0.7012657523 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 423, 'epoch': 1, 'hidden_size': 460, 'lr': 1.1665248281532248}
2021-05-24 12:44:30,331 - HyperTuner_objective - INFO - ObjValue=-0.6914100051 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 483, 'epoch': 3, 'hidden_size': 438, 'lr': 1.0678491668583012}
2021-05-24 12:44:32,061 - HyperTuner_objective - INFO - ObjValue=-0.6715058088 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 499, 'epoch': 2, 'hidden_size': 482, 'lr': 1.3311917279897791}
2021-05-24 12:44:33,000 - HyperTuner_objective - INFO - ObjValue=-0.6881531477 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 439, 'epoch': 1, 'hidden_size': 478, 'lr': 1.243160327539076}
2021-05-24 12:44:36,080 - HyperTuner_objective - INFO - ObjValue=-0.6787760854 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 490, 'epoch': 4, 'hidden_size': 456, 'lr': 0.7738114316390201}
2021-05-24 12:44:37,045 - HyperTuner_objective - INFO - ObjValue=-0.6904608011 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 1, 'hidden_size': 446, 'lr': 0.9475807679253256}
2021-05-24 12:44:39,741 - HyperTuner_objective - INFO - ObjValue=-0.6923510432 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 422, 'epoch': 3, 'hidden_size': 447, 'lr': 0.6116357409688968}
2021-05-24 12:44:40,743 - HyperTuner_objective - INFO - ObjValue=-0.7107073069 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 442, 'epoch': 1, 'hidden_size': 483, 'lr': 1.1453706731737117}
2021-05-24 12:44:42,635 - HyperTuner_objective - INFO - ObjValue=-0.7017959952 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 441, 'epoch': 2, 'hidden_size': 467, 'lr': 0.8612883398255353}
2021-05-24 12:44:43,654 - HyperTuner_objective - INFO - ObjValue=-0.6957175732 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 414, 'epoch': 1, 'hidden_size': 471, 'lr': 1.0384919062477806}
2021-05-24 12:44:47,291 - HyperTuner_objective - INFO - ObjValue=-0.6615211368 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 412, 'epoch': 4, 'hidden_size': 454, 'lr': 0.6356406631832912}
2021-05-24 12:44:48,266 - HyperTuner_objective - INFO - ObjValue=-0.7054558992 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 469, 'epoch': 1, 'hidden_size': 480, 'lr': 0.9865704473842515}
2021-05-24 12:44:49,172 - HyperTuner_objective - INFO - ObjValue=-0.7062078118 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 463, 'epoch': 1, 'hidden_size': 449, 'lr': 1.4096732145915054}
2021-05-24 12:44:51,928 - HyperTuner_objective - INFO - ObjValue=-0.6840167642 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 500, 'epoch': 3, 'hidden_size': 465, 'lr': 1.0838234622567324}
2021-05-24 12:44:52,815 - HyperTuner_objective - INFO - ObjValue=-0.7043922544 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 475, 'epoch': 1, 'hidden_size': 464, 'lr': 1.2389099026265824}
2021-05-24 12:44:54,595 - HyperTuner_objective - INFO - ObjValue=-0.7035295367 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 467, 'epoch': 2, 'hidden_size': 436, 'lr': 1.173336550814277}
2021-05-24 12:44:55,592 - HyperTuner_objective - INFO - ObjValue=-0.6908098459 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 493, 'epoch': 1, 'hidden_size': 473, 'lr': 0.8260508430525837}
2021-05-24 12:44:59,537 - HyperTuner_objective - INFO - ObjValue=-0.6406176686 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 425, 'epoch': 4, 'hidden_size': 457, 'lr': 1.493761663985559}
2021-05-24 12:45:00,470 - HyperTuner_objective - INFO - ObjValue=-0.7034497857 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 436, 'epoch': 1, 'hidden_size': 455, 'lr': 0.9014228238995003}
2021-05-24 12:45:03,317 - HyperTuner_objective - INFO - ObjValue=-0.6987776756 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 489, 'epoch': 3, 'hidden_size': 467, 'lr': 0.7571989341234355}
2021-05-24 12:45:04,275 - HyperTuner_objective - INFO - ObjValue=-0.6699029207 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 476, 'epoch': 1, 'hidden_size': 456, 'lr': 0.7238480038680175}
2021-05-24 12:45:05,217 - HyperTuner_objective - INFO - ObjValue=-0.7062186599 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 479, 'epoch': 1, 'hidden_size': 439, 'lr': 1.3587059537975446}
2021-05-24 12:45:07,064 - HyperTuner_objective - INFO - ObjValue=-0.7009811401 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 503, 'epoch': 2, 'hidden_size': 445, 'lr': 0.71692789613725}
2021-05-24 12:45:09,282 - HyperTuner_objective - INFO - ObjValue=-0.7164823413 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 427, 'epoch': 2, 'hidden_size': 468, 'lr': 0.5449652257030312}
2021-05-24 12:45:11,100 - HyperTuner_objective - INFO - ObjValue=-0.7051298022 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 486, 'epoch': 2, 'hidden_size': 461, 'lr': 0.6887754042567774}
2021-05-24 12:45:12,927 - HyperTuner_objective - INFO - ObjValue=-0.7051950693 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 455, 'epoch': 2, 'hidden_size': 445, 'lr': 0.6460859842511275}
2021-05-24 12:45:14,852 - HyperTuner_objective - INFO - ObjValue=-0.7110090256 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 509, 'epoch': 2, 'hidden_size': 448, 'lr': 0.9604158357153713}
2021-05-24 12:45:16,798 - HyperTuner_objective - INFO - ObjValue=-0.7061071396 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 455, 'epoch': 2, 'hidden_size': 466, 'lr': 1.0050358797717454}
2021-05-24 12:45:18,759 - HyperTuner_objective - INFO - ObjValue=-0.7082185149 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 495, 'epoch': 2, 'hidden_size': 442, 'lr': 0.7811743339642674}
2021-05-24 12:45:20,765 - HyperTuner_objective - INFO - ObjValue=-0.7019637227 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 448, 'epoch': 2, 'hidden_size': 476, 'lr': 1.0643823131350705}
2021-05-24 12:45:22,617 - HyperTuner_objective - INFO - ObjValue=-0.7126322985 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 445, 'epoch': 2, 'hidden_size': 472, 'lr': 0.8780579158588461}
2021-05-24 12:45:26,156 - HyperTuner_objective - INFO - ObjValue=-0.6688391566 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 508, 'epoch': 4, 'hidden_size': 463, 'lr': 0.8351608137073729}
2021-05-24 12:45:27,067 - HyperTuner_objective - INFO - ObjValue=-0.7083680630 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 458, 'epoch': 1, 'hidden_size': 437, 'lr': 1.0181153537031118}
2021-05-24 12:45:28,089 - HyperTuner_objective - INFO - ObjValue=-0.7063891888 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 416, 'epoch': 1, 'hidden_size': 445, 'lr': 0.5685785987008308}
2021-05-24 12:45:31,076 - HyperTuner_objective - INFO - ObjValue=-0.6888258457 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 468, 'epoch': 3, 'hidden_size': 481, 'lr': 1.1171120032644868}
2021-05-24 12:45:32,788 - HyperTuner_objective - INFO - ObjValue=-0.6937097311 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 471, 'epoch': 2, 'hidden_size': 458, 'lr': 0.9197505904601353}
2021-05-24 12:45:33,728 - HyperTuner_objective - INFO - ObjValue=-0.6812035441 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 492, 'epoch': 1, 'hidden_size': 485, 'lr': 1.2786895198625052}
2021-05-24 12:45:36,855 - HyperTuner_objective - INFO - ObjValue=-0.6680611372 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 502, 'epoch': 4, 'hidden_size': 452, 'lr': 0.7962062167063394}
2021-05-24 12:45:37,762 - HyperTuner_objective - INFO - ObjValue=-0.6898159981 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 424, 'epoch': 1, 'hidden_size': 441, 'lr': 0.6559817416231584}
2021-05-24 12:45:39,759 - HyperTuner_objective - INFO - ObjValue=-0.7160866261 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 415, 'epoch': 2, 'hidden_size': 475, 'lr': 0.5108055861937733}
2021-05-24 12:45:40,585 - HyperTuner_objective - INFO - ObjValue=-0.7055596113 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 480, 'epoch': 1, 'hidden_size': 443, 'lr': 0.7394031295249202}
2021-05-24 12:45:43,048 - HyperTuner_objective - INFO - ObjValue=-0.6770069003 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 437, 'epoch': 3, 'hidden_size': 444, 'lr': 1.219966228355125}
2021-05-24 12:45:43,949 - HyperTuner_objective - INFO - ObjValue=-0.7227621675 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 460, 'epoch': 1, 'hidden_size': 474, 'lr': 1.0545282227802755}
2021-05-24 12:45:44,873 - HyperTuner_objective - INFO - ObjValue=-0.7160144448 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 450, 'epoch': 1, 'hidden_size': 453, 'lr': 1.1601809964284113}
2021-05-24 12:45:45,782 - HyperTuner_objective - INFO - ObjValue=-0.7118345499 -- Params={'act_func_1': <class 'torch.nn.modules.activation.Tanh'>, 'act_func_2': <class 'torch.nn.modules.activation.Tanh'>, 'batch_size': 460, 'epoch': 1, 'hidden_size': 470, 'lr': 1.3270564786955092}
